id,Age,Sexe,Ethnie,Etat,Signes de maladie mentale,Niveau de menace,Fuite,Camera corporelle,Categorie arme,Mois,Year,Jour du mois,Blanc,Noir,Hispanique,Natif,Asiatique,Autre
142,46,M,Blanc,AL,1,Attaque,A pied,1,Autre,2,2015,11,0.66,0.26,0.04,0.0,0.01,0.02
145,23,M,Blanc,CA,0,Attaque,En voiture,0,Autre,2,2015,13,0.37,0.05,0.39,0.0,0.15,0.03
146,21,M,Hispanique,KS,0,Attaque,En voiture,0,Arme a feu,2,2015,13,0.76,0.05,0.12,0.01,0.03,0.03
147,35,M,Hispanique,PA,0,Autre,Pas de fuite,0,Non Armé,2,2015,13,0.76,0.1,0.08,0.0,0.04,0.02
148,27,M,Blanc,TN,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,13,0.74,0.17,0.05,0.0,0.02,0.02
154,37,M,Hispanique,AZ,1,Autre,Pas de fuite,0,Objets tranchants,2,2015,13,0.54,0.04,0.32,0.04,0.03,0.02
149,16,M,Blanc,MD,1,Attaque,En voiture,0,Arme a feu,2,2015,14,0.5,0.29,0.1,0.0,0.06,0.03
155,51,M,Blanc,TX,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,14,0.41,0.12,0.4,0.0,0.05,0.02
151,34,M,Blanc,MS,0,Attaque,A pied,0,Arme a feu,2,2015,15,0.57,0.38,0.03,0.0,0.01,0.01
153,34,M,Blanc,OR,1,Autre,Pas de fuite,0,Autre,2,2015,15,0.75,0.02,0.13,0.01,0.05,0.04
150,25,M,Noir,FL,1,Autre,Pas de fuite,0,Non Armé,2,2015,15,0.53,0.15,0.26,0.0,0.03,0.02
156,56,M,Blanc,AZ,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,16,0.54,0.04,0.32,0.04,0.03,0.02
157,26,M,Blanc,ID,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,16,0.82,0.01,0.13,0.01,0.02,0.02
158,24,M,Blanc,UT,1,Attaque,Pas de fuite,0,Autre,2,2015,16,0.78,0.01,0.14,0.01,0.02,0.04
130,43,F,Blanc,NC,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,17,0.63,0.21,0.1,0.01,0.03,0.03
159,31,M,Blanc,MO,0,Autre,A pied,0,Non Armé,2,2015,17,0.8,0.11,0.04,0.0,0.02,0.03
160,32,M,Blanc,MI,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,17,0.75,0.14,0.05,0.0,0.03,0.03
161,30,M,Blanc,MA,0,Attaque,A pied,0,Autre,2,2015,17,0.71,0.07,0.12,0.0,0.07,0.03
162,50,M,Hispanique,TX,0,Autre,Pas de fuite,0,Autre,2,2015,17,0.41,0.12,0.4,0.0,0.05,0.02
163,20,F,Noir,NC,1,Autre,Pas de fuite,0,Autre,2,2015,18,0.63,0.21,0.1,0.01,0.03,0.03
165,31,M,Hispanique,TX,0,Autre,Pas de fuite,0,Non Armé,2,2015,20,0.41,0.12,0.4,0.0,0.05,0.02
